"","LANDIS_test","LANDIS_traits","LandR","KNN","CASFRI","Latin_full","EN_generic_short","EN_generic_full","Leading","Notes","Boreal"
"1","abieamab","ABIE.AMA","Abie_ama","Abie_Ama","Abie amab","Abies amabilis","","","","",""
"2","abiebals","ABIE.BAL","Abie_bal","Abie_Bal","Abie bals","Abies balsamea","Fir","Balsam Fir","Fir leading","","Abie_Bal"
"3","","","Abie_con","","Abie conc","Abies concolor","","","","",""
"4","abiegran","ABIE.GRA","Abie_gra","Abie_Gra","Abie gran","Abies grandis","","","","",""
"5","abielasi","ABIE.LAS","Abie_sp","Abie_Las","Abie lasi","Abies lasiocarpa","","","","","Abie_Las"
"6","","","Abie_mag","","Abie magn","Abies magnifica var shastensis","","","","",""
"7","","","Abie_pic","","Abie pice","","Fir-Sp","Fir-Spruce","Fir-Spruce mix","Abies pice in CASFRI is a Spruce-balsam fir or Balsam fir-spruce mix",""
"8","","","Abie_pro","","Abie proc","Abies procera","","","","",""
"9","","ABIE.ALL","Abie_sp","Abie_Spp","Abie spp","Abies spp.","Fir","Fir","Fir leading","",""
"10","","","Acer_cir","Acer_Cir","Acer circ","Acer circinatum","","","","",""
"11","","","Acer_fre","","Acer free","Acer X freemanii","","","","",""
"12","","","Acer_gla","","Acer glab","Acer glabrum","","","","",""
"13","acermacr","ACER.MAC","Acer_mac","Acer_Mac","Acer macr","Acer macrophyllum","","","","",""
"14","","","Acer_neg","Acer_Neg","Acer negu","Acer negundo","","","","","Acer_Neg"
"15","","","Acer_nig","","Acer nigr","Acer nigrum","","","","",""
"16","","","Acer_pen","Acer_Pen","Acer pens","Acer pensylvanicum","","","","","Acer_Pen"
"17","","","Acer_pla","","Acer plat","Acer platanoides","","","","",""
"18","","","Acer_pse","","Acer pseu","Acer pseudoplatanus","","","","",""
"19","acerrubr","ACER.RUB","Acer_rub","Acer_Rub","Acer rubr","Acer rubrum","","","","",""
"20","acersacc","ACER.SAH","Acer_sah","Acer_Sac","Acer sacc","Acer saccharinum","","","","",""
"21","alnurubr","ALNU.RUB","Alnu_rub","Acer_Sah","Acer sach","Acer saccharum","","","","","Acer_Sah"
"22","","","Acer_spi","Acer_Spi","Acer spic","Acer spicatum","","","","","Acer_Spi"
"23","","","Acer_sp","Acer_Spp","Acer spp","Acer spp.","","","","","Acer_Spp"
"24","","","Aesc_hip","","Aesc hipp","Aesculus hippocastanum","","","","",""
"25","","","Alnu_inc","Alnu_Inc_Rug","Alnu inca","Alnus incana","","","","",""
"26","","","Alnu_inc","Alnu_Inc_Ten","Alnu inca","","","","","",""
"27","","","Alnu_inc","Alnu_Inc","Alnu inca","","","","","",""
"28","","","Alnu_rub","Alnu_Rub","Alnu rubr","Alnus rubra","","","","",""
"29","","","Alnu_sp","Alnu_Spp","Alnu spp","Alnus spp","","","","","Alnu_Spp"
"30","","","Alnu_vir","","Alnu viri","Alnus viridis","","","","",""
"31","","","Arbu_men","Arbu_Men","Arbu menz","Arbutus menziesii","","","","",""
"32","","","Asim_tri","Asim_Tri","Asim tril","Asimina triloba","","","","",""
"33","","BETU.ALL","Betu_sp","Betu_All","Betu alle","Betula alleghaniensis","","","","","Betu_All"
"34","","","Betu_len","","Betu lent","Betula lenta","","","","",""
"35","","","Betu_man","","Betu mand","Betula mandschurica var japonica","","","","",""
"36","","","Betu_neo","","Betu neoa","Betula neoalaskana","","","","",""
"37","","","Betu_occ","","Betu occi","Betula occidentalis","","","","",""
"38","betupapy","BETU.PAP","Betu_pap","Betu_Pap","Betu papy","Betula papyrifera","","","","","Betu_Pap"
"39","","","Betu_pen","","Betu pend","Betula pendula","","","","",""
"40","","","Betu_pop","Betu_Pop","Betu popu","Betula populifolia","","","","","Betu_Pop"
"41","","","Betu_pub","","Betu pube","Betula pubescens","","","","",""
"42","","BETU.ALL","Betu_sp","Betu_Spp","Betu spp","Betula spp.","","","","","Betu_Spp"
"43","","","Betu_win","","Betu winx","Betula x winteri","","","","",""
"44","","","Calc_dec","","Calc decu","Calocedrus decurrens","","","","",""
"45","","","Carp_car","Carp_Car","Carp caro","Carpinus caroliniana","","","","",""
"46","","","Cary_cor","Cary_Cor","Cary cord","Carya cordiformis","","","","",""
"47","","","Cary_gla","","Cary glab","Carya glabra","","","","",""
"48","","","Cary_lac","","Cary laci","Carya laciniosa","","","","",""
"49","","","Cary_ora","","Cary orav","Carya orava","","","","",""
"50","","","Cary_sp","","Cary spp","Carya spp.","","","","",""
"51","","","Cary_tom","","Cary tome","Carya tomentosa","","","","",""
"52","","","Cast_den","Cast_Den","Cast dent","Castanea dentata","","","","",""
"53","","","Cata_spe","","Cata spec","Catalpa speciosa","","","","",""
"54","","","Celt_occ","","Celt occi","Celtix occidentalis","","","","",""
"55","","","Cerc_can","","Cerci cana","Cercis canadensis","","","","",""
"56","","","Cham_law","","Cham laws","Chamaecyparis lawsoniana","","","","",""
"57","chamnoot","CHAM.NOO","Cham_noo","Cham_Noo","Cham noot","Chamaecyparis nootkatensis","","","","",""
"58","","","Corn_nut","","Corn nutt","Cornus nuttallii","","","","",""
"59","","","Crat_sp","Crat_Spp","Crat spp","Crataegus spp","","","","",""
"60","fagugran","FAGU.GRA","Fagu_gra","Fagu_Gra","Fagu gran","Fagus grandifolia","","","","","Fagu_Gra"
"61","fraxamer","FRAX.AME","Frax_ame","Frax_Ame","Frax amer","Fraxinus americana","","","","","Frax_Ame"
"62","","","Frax_lat","","Frax lati","Fraxinus latifolia","","","","",""
"63","","","Frax_nig","Frax_Nig","Frax nigr","Fraxinus nigra","","","","","Frax_Nig"
"64","","","Frax_pen","Frax_Pen_Sub","Frax penn","Fraxinus pennsylvanica","","","","Fraxinus pennsylvanica subintegerrima is a synonym",""
"65","","","Frax_pen","Frax_Pen","Frax penn","Fraxinus pennsylvanica","","","","",""
"66","","","Frax_pro","","Frax prof","Fraxinus profunda","","","","",""
"67","","","Frax_qua","","Frax quad","Fraxinus quadrangulata","","","","",""
"68","","","Frax_sp","Frax_Spp","Frax spp","Fraxinus spp.","","","","","Frax_Spp"
"69","","","Gled_tri","Gled_Tri","Gled tria","Gleditsia triacanthos","","","","",""
"70","","","Gymn_dio","","Gymn dioi","Gymnocladus dioicus","","","","",""
"71","","","Hana_vir","","Hana virg","Hamamelis virginiana","","","","",""
"72","","","Jugl_cin","Jugl_Cin","Jugl cine","Juglans cinerea","","","","",""
"73","","","Jugl_nig","Jugl_Nig","Jugl nigr","Juglans nigra","","","","",""
"74","","","Thuj_jun","Juni_Vir","Thuj juni","Juniperus virginiana","","","","Not clear why CASFRI name doesn't match",""
"75","","","Juni_sco","","Juni scop","Juniperus scopulorum","","","","",""
"76","","","Lari_dec","","Lari deci","Larix decidua","","","","",""
"77","","","Lari_kae","Lari_Kae","Lari kaem","Larix kaempferi","","","","",""
"78","larilari","LARI.LAR","Lari_lar","Lari_Lar","Lari lari","Larix laricina","","","","","Lari_Lar"
"79","","","Lari_lya","Lari_Lya","Lari lyal","Larix lyallii","","","","","Lari_Lya"
"80","lariocci","LARI.OCC","Lari_occ","Lari_Occ","Lari occi","Larix occidentalis","","","","","Lari_Occ"
"81","","","Lari_sib","","Lari sibi","Larix sibitica","","","","",""
"82","","","Lari_sp","Lari_Spp","Lari spp","Larix spp.","","","","","Lari_Spp"
"83","","","Lari_sp","","Lari x mar","Larix x marschlinsii","","","","",""
"84","","","Liri_tul","","Liri tuli","Liriodendron tulipifera","","","","",""
"85","","","Magn_acu","","Magn acum","Magnolia acuminata","","","","",""
"86","","","Malu_fus","Malu_Fus","Malu fusc","Malus fusca","","","","",""
"87","","","Malu_pum","","Malu pumi","Malus pumila","","","","",""
"88","","","Malu_sp","Malu_Spp","","","","","","",""
"89","","","Moru_rub","","Moru rubr","Morus rubra","","","","",""
"90","","","Nyss_syl","","Nyss sylv","Nyssa sylvatica","","","","",""
"91","","","Ostr_vir","Ostr_Vir","Ostr virg","Ostrya virginiana","","","","",""
"92","","","Pice_abi","Pice_Abi","Pice abie","Picea abies","","","","",""
